CustomerID,Age,Annual_Income,Spending_Score,Purchase_Frequency,Total_Purchases,Online_Purchases,Website_Visits
1001,56,24000,68,6,41,48,39
1002,46,90588,19,8,8,10,49
1003,32,113610,84,25,11,38,12
1004,60,117856,97,18,86,23,41
1005,25,58304,20,25,51,59,47
1006,38,89449,12,12,88,45,18
1007,56,102986,47,15,41,18,21
1008,36,109643,1,27,17,3,13
1009,40,40764,90,26,76,25,21
1010,28,106027,14,9,46,37,8
1011,28,58494,64,13,32,41,46
1012,41,23373,38,26,79,31,40
1013,53,32161,37,15,80,38,46
1014,57,117532,11,10,54,44,7
1015,41,112658,100,16,86,45,23
1016,20,47350,77,7,92,35,44
1017,39,113008,3,17,20,39,32
1018,19,114297,33,23,33,36,11
1019,41,45351,6,26,74,32,22
1020,61,108668,50,21,40,35,22
1021,47,35305,10,22,32,2,43
1022,55,95353,5,26,97,8,25
1023,19,96797,23,7,2,7,22
1024,38,85953,10,14,97,32,28
1025,50,77458,44,15,33,58,29
1026,29,40358,2,21,77,5,13
1027,39,23267,13,7,30,40,18
1028,61,102745,40,9,33,38,2
1029,42,109588,2,19,77,3,29
1030,44,58513,84,16,26,12,21
1031,59,46092,65,8,22,48,15
1032,45,31338,63,18,66,59,27
1033,33,20412,73,27,38,1,50
1034,32,27543,17,23,90,59,31
1035,64,53496,9,29,46,4,15
1036,61,80692,75,18,15,43,23
1037,20,109084,15,30,98,26,24
1038,54,112920,24,20,44,31,44
1039,24,64425,38,7,49,20,13
1040,38,58756,35,3,75,7,22
1041,26,38888,94,18,61,37,43
1042,56,55735,95,27,67,7,37
1043,35,67295,49,10,6,49,33
1044,21,103042,69,7,9,2,3
1045,42,105999,62,17,6,53,19
1046,31,37955,60,14,73,43,23
1047,26,57841,50,24,95,60,29
1048,43,90640,78,3,32,57,30
1049,19,85510,75,12,41,2,39
1050,37,54911,9,28,76,21,44
1051,45,79031,34,13,8,5,47
1052,64,108726,76,2,72,1,25
1053,24,27357,99,3,50,22,37
1054,61,52479,35,5,92,43,47
1055,25,81476,1,11,62,1,8
1056,64,64811,40,8,84,37,42
1057,52,56208,64,26,62,16,16
1058,31,40150,22,23,7,34,8
1059,34,91180,60,23,75,33,1
1060,53,63286,64,12,84,22,44
1061,57,88450,93,7,80,29,5
1062,21,41352,72,15,4,51,3
1063,19,75069,11,24,6,7,1
1064,23,34397,14,17,58,21,4
1065,59,61555,60,4,22,43,40
1066,21,66959,30,29,26,57,35
1067,46,20728,35,22,3,35,32
1068,35,70517,85,25,41,4,42
1069,43,86234,37,13,60,12,34
1070,61,59954,5,18,14,28,43
1071,51,67280,83,1,75,30,25
1072,27,99459,78,16,82,46,10
1073,53,36779,26,13,12,56,21
1074,31,83932,62,10,87,54,46
1075,48,92936,4,12,12,15,39
1076,32,44466,89,30,13,41,27
1077,25,56939,42,2,25,29,27
1078,31,89896,89,23,45,56,2
1079,40,55270,18,3,19,54,41
1080,57,79163,40,10,55,15,48
1081,38,102637,72,2,100,11,13
1082,33,71934,39,30,45,16,9
1083,62,84895,14,27,8,15,36
1084,35,52307,32,23,93,11,22
1085,64,74098,51,13,53,7,42
1086,41,80921,38,13,55,19,26
1087,43,25486,97,18,32,2,12
1088,42,28335,23,3,51,15,17
1089,62,106900,63,27,44,29,14
1090,58,109112,15,7,82,44,14
1091,46,117203,97,14,70,22,34
1092,32,31130,25,20,18,27,20
1093,62,107508,17,29,83,50,11
1094,18,80566,97,30,22,39,16
1095,42,86703,66,17,37,53,31
1096,24,47192,78,29,96,4,6
1097,26,21062,53,30,56,19,19
1098,41,104076,51,21,59,39,37
1099,18,109780,39,12,3,55,4
1100,61,41545,51,25,28,43,47
1101,25,41689,70,16,74,0,4
1102,41,31174,6,24,35,56,20
1103,28,108461,67,12,61,29,10
1104,34,29348,7,15,93,20,24
1105,25,43714,51,25,54,19,35
1106,52,58102,72,10,63,5,26
1107,52,94460,42,30,79,21,37
1108,50,109930,64,25,97,17,38
1109,22,26801,15,7,7,7,21
1110,59,92267,29,20,76,38,40
1111,56,68136,33,5,49,31,39
1112,58,43625,94,1,94,32,21
1113,45,102873,27,30,85,52,10
1114,24,92592,36,17,31,15,38
1115,26,97052,29,3,58,11,46
1116,25,64261,38,13,61,37,4
1117,29,21542,57,14,24,51,45
1118,51,41677,97,24,20,33,20
1119,50,66732,27,30,37,60,17
1120,40,70343,55,18,4,13,7
1121,41,59081,33,4,92,35,4
1122,54,82856,68,18,20,32,29
1123,52,113105,86,30,60,22,14
1124,61,108858,66,5,24,49,3
1125,57,39065,10,25,50,44,24
1126,39,103460,5,16,49,1,37
1127,44,108092,74,1,51,40,16
1128,52,74693,97,21,96,20,4
1129,18,46962,38,14,36,1,24
1130,52,48295,13,15,98,26,34
1131,54,33807,31,9,100,56,30
1132,64,62348,47,15,66,8,18
